name,calories,protein,carbohydrate,fat,vitaminc,ingredients
ข้าวผัดปลา,130,2.7,28.2,0.3,0,"rice, fish, coriander root, garlic, pepper, soy sauce, oyster sauce, sugar"
ต้มยำปลาน้ำใส,339,40.6,7.5,16.1,10.5,"fish, mushroom, lemon_grass, kaffir_lime_leave, chili, coriander, spring_onion,onion , galagal, salt, fish sauce, lemon_juice, water, chili_paste"
ต้มยำปลาน้ำข้น,447,45.3,40.3,14.4,316.68,"fish, mushroom, lemon_grass, kaffir_lime_leave, chili, coriander, spring_onion,onion , galagal, salt, fish sauce, lemon_juice, water, chili_paste, milk"
ปลาทับทิมย่างเกลือ,96,20.1,0,1.7,0,"ruby_fish, lemon_grass, celery, lemon, salt, garlic, chili"
ยำวุ้นเส้นทะเล,427,40.9,30.4,17.2,132.24,"vermicelli, lime, onino, squid, shrimp, celery, tomato, chili, fish sauce, sugar, crab, fish"
ข้าวต้มปลากระพง,130,2.7,28.2,0.3,0,"sanpper, water, soy_sauce, galangal, celery, rice, salt"
กุ่ยช่ายพร้อมซอส,362,7.2,54.5,13.9,128.51,"oil, chives, egg, bean_sprout, spring_onion, sweet_soy_sauce, pepper, salt, sugar, flour, baking_soda"
พะแนงหมู,463,20.3,9,38.3,2.18,"chili, lemon_grass, kaffir_lime_leave, shallot, garlic, pepper, coriander_root, salt, shrimp paste, pork, coconut_milk, fish_sauce, sugar, basil, sugar"
ราดหน้าไก่,673,73.4,46.5,22.3,4.21,"chicken, kale, cabbage, carrot, wide_rice_noodle, soy_sauce, sugar, water, oyster_sauce, corn_flour, bean_paste"
ผัดมะระใส่ไข่,227,7.9,7,18.5,3,"bitter_gourd, garlic, coriander_root, soy sauce, salt, egg, oyster_sauce"
แหนมซี่โครงหมู,228,19.2,0.8,16.3,0,"pork, garlic, rice, salt, soy_sauce"
เกาเหลาน้ำตกหมู,413,41.7,3.1,24.7,91,"pork, chilli, shallot, fish_sauce, lime, spring_onion, basil, water, pork_blood"
ผัดมะเขือยาว,130,3,18,5.1,9,"eggplant, pork, shallot, garlic, chili, shrimp_paste, fish_sauce, sugar, oyster_sauce, soy_sauce"
ตำป่า,307,21.6,54.9,2,250.41,"chili, sugar, long_bean, eggplant, crab, lime, tamarind, shoot, cabbage, carrot, dried_shrimp, rice_noodle, clam, papaya, fermented_fish_sauce, fish_sauce, sugar, salt"
ผัดผักบุ้งหมู,650,19.2,12.9,61.7,91,"morning glory, garlic, chili, oyster sauce, fish sauce, sugar, oil, pork"
ต้มจับฉ่ายหมู,136,6.4,9.2,9,134,"cabbage, mushroom, spinach, kale, celery, sugar, soy_sauce, bean_paste, pepper, pork "
